# SIMULACION DE COLISIONES MULTIPLES
# Practica 5 - Informatica II
#
# Box: 800 x 600
# Tiempo: 5.81 s
# Particulas activas: 2/2
# Total colisiones: 4
#
# OBSTACULOS
obstaculo,0,300,250,200,100
#
# TRAYECTORIAS DE PARTICULAS
# Formato: trayectoria,tiempo,id,x,y,vx,vy,masa,activa
trayectoria,0.58,1,613,300,-150,0,1,1
trayectoria,0.59,0,188.5,300,150,0,1,1
trayectoria,0.59,1,611.5,300,-150,0,1,1
trayectoria,0.6,0,190,300,150,0,1,1
trayectoria,0.6,1,610,300,-150,0,1,1
trayectoria,0.61,0,191.5,300,150,0,1,1
trayectoria,0.61,1,608.5,300,-150,0,1,1
trayectoria,0.62,0,193,300,150,0,1,1
trayectoria,0.62,1,607,300,-150,0,1,1
trayectoria,0.63,0,194.5,300,150,0,1,1
trayectoria,0.63,1,605.5,300,-150,0,1,1
trayectoria,0.64,0,196,300,150,0,1,1
trayectoria,0.64,1,604,300,-150,0,1,1
trayectoria,0.65,0,197.5,300,150,0,1,1
trayectoria,0.65,1,602.5,300,-150,0,1,1
trayectoria,0.66,0,199,300,150,0,1,1
trayectoria,0.66,1,601,300,-150,0,1,1
trayectoria,0.67,0,200.5,300,150,0,1,1
trayectoria,0.67,1,599.5,300,-150,0,1,1
trayectoria,0.68,0,202,300,150,0,1,1
trayectoria,0.68,1,598,300,-150,0,1,1
trayectoria,0.69,0,203.5,300,150,0,1,1
trayectoria,0.69,1,596.5,300,-150,0,1,1
trayectoria,0.7,0,205,300,150,0,1,1
trayectoria,0.7,1,595,300,-150,0,1,1
trayectoria,0.71,0,206.5,300,150,0,1,1
trayectoria,0.71,1,593.5,300,-150,0,1,1
trayectoria,0.72,0,208,300,150,0,1,1
trayectoria,0.72,1,592,300,-150,0,1,1
trayectoria,0.73,0,209.5,300,150,0,1,1
trayectoria,0.73,1,590.5,300,-150,0,1,1
trayectoria,0.74,0,211,300,150,0,1,1
trayectoria,0.74,1,589,300,-150,0,1,1
trayectoria,0.75,0,212.5,300,150,0,1,1
trayectoria,0.75,1,587.5,300,-150,0,1,1
trayectoria,0.76,0,214,300,150,0,1,1
trayectoria,0.76,1,586,300,-150,0,1,1
trayectoria,0.77,0,215.5,300,150,0,1,1
trayectoria,0.77,1,584.5,300,-150,0,1,1
trayectoria,0.78,0,217,300,150,0,1,1
trayectoria,0.78,1,583,300,-150,0,1,1
trayectoria,0.79,0,218.5,300,150,0,1,1
trayectoria,0.79,1,581.5,300,-150,0,1,1
trayectoria,0.8,0,220,300,150,0,1,1
trayectoria,0.8,1,580,300,-150,0,1,1
trayectoria,0.81,0,221.5,300,150,0,1,1
trayectoria,0.81,1,578.5,300,-150,0,1,1
trayectoria,0.82,0,223,300,150,0,1,1
trayectoria,0.82,1,577,300,-150,0,1,1
trayectoria,0.83,0,224.5,300,150,0,1,1
trayectoria,0.83,1,575.5,300,-150,0,1,1
trayectoria,0.84,0,226,300,150,0,1,1
trayectoria,0.84,1,574,300,-150,0,1,1
trayectoria,0.85,0,227.5,300,150,0,1,1
trayectoria,0.85,1,572.5,300,-150,0,1,1
trayectoria,0.86,0,229,300,150,0,1,1
trayectoria,0.86,1,571,300,-150,0,1,1
trayectoria,0.87,0,230.5,300,150,0,1,1
trayectoria,0.87,1,569.5,300,-150,0,1,1
trayectoria,0.88,0,232,300,150,0,1,1
trayectoria,0.88,1,568,300,-150,0,1,1
trayectoria,0.89,0,233.5,300,150,0,1,1
trayectoria,0.89,1,566.5,300,-150,0,1,1
trayectoria,0.9,0,235,300,150,0,1,1
trayectoria,0.9,1,565,300,-150,0,1,1
trayectoria,0.91,0,236.5,300,150,0,1,1
trayectoria,0.91,1,563.5,300,-150,0,1,1
trayectoria,0.92,0,238,300,150,0,1,1
trayectoria,0.92,1,562,300,-150,0,1,1
trayectoria,0.93,0,239.5,300,150,0,1,1
trayectoria,0.93,1,560.5,300,-150,0,1,1
trayectoria,0.94,0,241,300,150,0,1,1
trayectoria,0.94,1,559,300,-150,0,1,1
trayectoria,0.95,0,242.5,300,150,0,1,1
trayectoria,0.95,1,557.5,300,-150,0,1,1
trayectoria,0.96,0,244,300,150,0,1,1
trayectoria,0.96,1,556,300,-150,0,1,1
trayectoria,0.97,0,245.5,300,150,0,1,1
trayectoria,0.97,1,554.5,300,-150,0,1,1
trayectoria,0.98,0,247,300,150,0,1,1
trayectoria,0.98,1,553,300,-150,0,1,1
trayectoria,0.99,0,248.5,300,150,0,1,1
trayectoria,0.99,1,551.5,300,-150,0,1,1
trayectoria,1,0,250,300,150,0,1,1
trayectoria,1,1,550,300,-150,0,1,1
trayectoria,1.01,0,251.5,300,150,0,1,1
trayectoria,1.01,1,548.5,300,-150,0,1,1
trayectoria,1.02,0,253,300,150,0,1,1
trayectoria,1.02,1,547,300,-150,0,1,1
trayectoria,1.03,0,254.5,300,150,0,1,1
trayectoria,1.03,1,545.5,300,-150,0,1,1
trayectoria,1.04,0,256,300,150,0,1,1
trayectoria,1.04,1,544,300,-150,0,1,1
trayectoria,1.05,0,257.5,300,150,0,1,1
trayectoria,1.05,1,542.5,300,-150,0,1,1
trayectoria,1.06,0,259,300,150,0,1,1
trayectoria,1.06,1,541,300,-150,0,1,1
trayectoria,1.07,0,260.5,300,150,0,1,1
trayectoria,1.07,1,539.5,300,-150,0,1,1
trayectoria,1.08,0,262,300,150,0,1,1
trayectoria,1.08,1,538,300,-150,0,1,1
trayectoria,1.09,0,263.5,300,150,0,1,1
trayectoria,1.09,1,536.5,300,-150,0,1,1
trayectoria,1.1,0,265,300,150,0,1,1
trayectoria,1.1,1,535,300,-150,0,1,1
trayectoria,1.11,0,266.5,300,150,0,1,1
trayectoria,1.11,1,533.5,300,-150,0,1,1
trayectoria,1.12,0,268,300,150,0,1,1
trayectoria,1.12,1,532,300,-150,0,1,1
trayectoria,1.13,0,269.5,300,150,0,1,1
trayectoria,1.13,1,530.5,300,-150,0,1,1
trayectoria,1.14,0,271,300,150,0,1,1
trayectoria,1.14,1,529,300,-150,0,1,1
trayectoria,1.15,0,272.5,300,150,0,1,1
trayectoria,1.15,1,527.5,300,-150,0,1,1
trayectoria,1.16,0,274,300,150,0,1,1
trayectoria,1.16,1,526,300,-150,0,1,1
trayectoria,1.17,0,275.5,300,150,0,1,1
trayectoria,1.17,1,524.5,300,-150,0,1,1
trayectoria,1.18,0,277,300,150,0,1,1
trayectoria,1.18,1,523,300,-150,0,1,1
trayectoria,1.19,0,278.5,300,150,0,1,1
trayectoria,1.19,1,521.5,300,-150,0,1,1
trayectoria,1.2,0,280,300,150,0,1,1
trayectoria,1.2,1,520,300,-150,0,1,1
trayectoria,1.21,0,281.5,300,150,0,1,1
trayectoria,1.21,1,518.5,300,-150,0,1,1
trayectoria,1.22,0,283,300,150,0,1,1
trayectoria,1.22,1,517,300,-150,0,1,1
trayectoria,1.23,0,284.5,300,150,0,1,1
