# SIMULACION DE COLISIONES MULTIPLES
# Practica 5 - Informatica II
#
# Box: 800 x 600
# Tiempo: 24.19 s
# Particulas activas: 2/4
# Total colisiones: 25
#
# OBSTACULOS
obstaculo,0,200,150,80,80
obstaculo,1,520,150,80,80
obstaculo,2,200,370,80,80
obstaculo,3,520,370,80,80
#
# TRAYECTORIAS DE PARTICULAS
# Formato: trayectoria,tiempo,id,x,y,vx,vy,masa,activa
trayectoria,0.24,1,656.8,133.6,-180,140,1.5,1
trayectoria,0.24,2,138.4,468.8,160,-130,1.2,1
trayectoria,0.24,3,659.2,473.6,-170,-110,0.8,1
trayectoria,0.25,0,137.5,130,150,120,1,1
trayectoria,0.25,1,655,135,-180,140,1.5,1
trayectoria,0.25,2,140,467.5,160,-130,1.2,1
trayectoria,0.25,3,657.5,472.5,-170,-110,0.8,1
trayectoria,0.26,0,139,131.2,150,120,1,1
trayectoria,0.26,1,653.2,136.4,-180,140,1.5,1
trayectoria,0.26,2,141.6,466.2,160,-130,1.2,1
trayectoria,0.26,3,655.8,471.4,-170,-110,0.8,1
trayectoria,0.27,0,140.5,132.4,150,120,1,1
trayectoria,0.27,1,651.4,137.8,-180,140,1.5,1
trayectoria,0.27,2,143.2,464.9,160,-130,1.2,1
trayectoria,0.27,3,654.1,470.3,-170,-110,0.8,1
trayectoria,0.28,0,142,133.6,150,120,1,1
trayectoria,0.28,1,649.6,139.2,-180,140,1.5,1
trayectoria,0.28,2,144.8,463.6,160,-130,1.2,1
trayectoria,0.28,3,652.4,469.2,-170,-110,0.8,1
trayectoria,0.29,0,143.5,134.8,150,120,1,1
trayectoria,0.29,1,647.8,140.6,-180,140,1.5,1
trayectoria,0.29,2,146.4,462.3,160,-130,1.2,1
trayectoria,0.29,3,650.7,468.1,-170,-110,0.8,1
trayectoria,0.3,0,145,136,150,120,1,1
trayectoria,0.3,1,646,142,-180,140,1.5,1
trayectoria,0.3,2,148,461,160,-130,1.2,1
trayectoria,0.3,3,649,467,-170,-110,0.8,1
trayectoria,0.31,0,146.5,137.2,150,120,1,1
trayectoria,0.31,1,644.2,143.4,-180,140,1.5,1
trayectoria,0.31,2,149.6,459.7,160,-130,1.2,1
trayectoria,0.31,3,647.3,465.9,-170,-110,0.8,1
trayectoria,0.32,0,148,138.4,150,120,1,1
trayectoria,0.32,1,642.4,144.8,-180,140,1.5,1
trayectoria,0.32,2,151.2,458.4,160,-130,1.2,1
trayectoria,0.32,3,645.6,464.8,-170,-110,0.8,1
trayectoria,0.33,0,149.5,139.6,150,120,1,1
trayectoria,0.33,1,640.6,146.2,-180,140,1.5,1
trayectoria,0.33,2,152.8,457.1,160,-130,1.2,1
trayectoria,0.33,3,643.9,463.7,-170,-110,0.8,1
trayectoria,0.34,0,151,140.8,150,120,1,1
trayectoria,0.34,1,638.8,147.6,-180,140,1.5,1
trayectoria,0.34,2,154.4,455.8,160,-130,1.2,1
trayectoria,0.34,3,642.2,462.6,-170,-110,0.8,1
trayectoria,0.35,0,152.5,142,150,120,1,1
trayectoria,0.35,1,637,149,-180,140,1.5,1
