# SIMULACION DE COLISIONES MULTIPLES
# Practica 5 - Informatica II
#
# Box: 800 x 600
# Tiempo: 11.1 s
# Particulas activas: 1/1
# Total colisiones: 6
#
# OBSTACULOS
#
# TRAYECTORIAS DE PARTICULAS
# Formato: trayectoria,tiempo,id,x,y,vx,vy,masa,activa
trayectoria,0,0,400,300,200,150,1,1
trayectoria,0,0,400,300,200,150,1,1
trayectoria,0.01,0,402,301.5,200,150,1,1
trayectoria,0.02,0,404,303,200,150,1,1
trayectoria,0.03,0,406,304.5,200,150,1,1
trayectoria,0.04,0,408,306,200,150,1,1
trayectoria,0.05,0,410,307.5,200,150,1,1
trayectoria,0.06,0,412,309,200,150,1,1
trayectoria,0.07,0,414,310.5,200,150,1,1
trayectoria,0.08,0,416,312,200,150,1,1
trayectoria,0.09,0,418,313.5,200,150,1,1
trayectoria,0.1,0,420,315,200,150,1,1
trayectoria,0.11,0,422,316.5,200,150,1,1
trayectoria,0.12,0,424,318,200,150,1,1
trayectoria,0.13,0,426,319.5,200,150,1,1
trayectoria,0.14,0,428,321,200,150,1,1
trayectoria,0.15,0,430,322.5,200,150,1,1
trayectoria,0.16,0,432,324,200,150,1,1
trayectoria,0.17,0,434,325.5,200,150,1,1
trayectoria,0.18,0,436,327,200,150,1,1
trayectoria,0.19,0,438,328.5,200,150,1,1
trayectoria,0.2,0,440,330,200,150,1,1
trayectoria,0.21,0,442,331.5,200,150,1,1
trayectoria,0.22,0,444,333,200,150,1,1
trayectoria,0.23,0,446,334.5,200,150,1,1
trayectoria,0.24,0,448,336,200,150,1,1
trayectoria,0.25,0,450,337.5,200,150,1,1
trayectoria,0.26,0,452,339,200,150,1,1
trayectoria,0.27,0,454,340.5,200,150,1,1
trayectoria,0.28,0,456,342,200,150,1,1
trayectoria,0.29,0,458,343.5,200,150,1,1
trayectoria,0.3,0,460,345,200,150,1,1
trayectoria,0.31,0,462,346.5,200,150,1,1
trayectoria,0.32,0,464,348,200,150,1,1
trayectoria,0.33,0,466,349.5,200,150,1,1
trayectoria,0.34,0,468,351,200,150,1,1
trayectoria,0.35,0,470,352.5,200,150,1,1
trayectoria,0.36,0,472,354,200,150,1,1
trayectoria,0.37,0,474,355.5,200,150,1,1
trayectoria,0.38,0,476,357,200,150,1,1
trayectoria,0.39,0,478,358.5,200,150,1,1
trayectoria,0.4,0,480,360,200,150,1,1
trayectoria,0.41,0,482,361.5,200,150,1,1
trayectoria,0.42,0,484,363,200,150,1,1
trayectoria,0.43,0,486,364.5,200,150,1,1
trayectoria,0.44,0,488,366,200,150,1,1
trayectoria,0.45,0,490,367.5,200,150,1,1
trayectoria,0.46,0,492,369,200,150,1,1
trayectoria,0.47,0,494,370.5,200,150,1,1
trayectoria,0.48,0,496,372,200,150,1,1
trayectoria,0.49,0,498,373.5,200,150,1,1
trayectoria,0.5,0,500,375,200,150,1,1
trayectoria,0.51,0,502,376.5,200,150,1,1
trayectoria,0.52,0,504,378,200,150,1,1
trayectoria,0.53,0,506,379.5,200,150,1,1
trayectoria,0.54,0,508,381,200,150,1,1
trayectoria,0.55,0,510,382.5,200,150,1,1
trayectoria,0.56,0,512,384,200,150,1,1
trayectoria,0.57,0,514,385.5,200,150,1,1
trayectoria,0.58,0,516,387,200,150,1,1
trayectoria,0.59,0,518,388.5,200,150,1,1
trayectoria,0.6,0,520,390,200,150,1,1
trayectoria,0.61,0,522,391.5,200,150,1,1
trayectoria,0.62,0,524,393,200,150,1,1
trayectoria,0.63,0,526,394.5,200,150,1,1
trayectoria,0.64,0,528,396,200,150,1,1
trayectoria,0.65,0,530,397.5,200,150,1,1
trayectoria,0.66,0,532,399,200,150,1,1
trayectoria,0.67,0,534,400.5,200,150,1,1
trayectoria,0.68,0,536,402,200,150,1,1
trayectoria,0.69,0,538,403.5,200,150,1,1
trayectoria,0.7,0,540,405,200,150,1,1
trayectoria,0.71,0,542,406.5,200,150,1,1
trayectoria,0.72,0,544,408,200,150,1,1
trayectoria,0.73,0,546,409.5,200,150,1,1
trayectoria,0.74,0,548,411,200,150,1,1
trayectoria,0.75,0,550,412.5,200,150,1,1
trayectoria,0.76,0,552,414,200,150,1,1
trayectoria,0.77,0,554,415.5,200,150,1,1
trayectoria,0.78,0,556,417,200,150,1,1
trayectoria,0.79,0,558,418.5,200,150,1,1
trayectoria,0.8,0,560,420,200,150,1,1
trayectoria,0.81,0,562,421.5,200,150,1,1
trayectoria,0.82,0,564,423,200,150,1,1
trayectoria,0.83,0,566,424.5,200,150,1,1
trayectoria,0.84,0,568,426,200,150,1,1
trayectoria,0.85,0,570,427.5,200,150,1,1
trayectoria,0.86,0,572,429,200,150,1,1
trayectoria,0.87,0,574,430.5,200,150,1,1
trayectoria,0.88,0,576,432,200,150,1,1
trayectoria,0.89,0,578,433.5,200,150,1,1
trayectoria,0.9,0,580,435,200,150,1,1
trayectoria,0.91,0,582,436.5,200,150,1,1
trayectoria,0.92,0,584,438,200,150,1,1
trayectoria,0.93,0,586,439.5,200,150,1,1
trayectoria,0.94,0,588,441,200,150,1,1
trayectoria,0.95,0,590,442.5,200,150,1,1
trayectoria,0.96,0,592,444,200,150,1,1
trayectoria,0.97,0,594,445.5,200,150,1,1
trayectoria,0.98,0,596,447,200,150,1,1
trayectoria,0.99,0,598,448.5,200,150,1,1
trayectoria,1,0,600,450,200,150,1,1
trayectoria,1.01,0,602,451.5,200,150,1,1
trayectoria,1.02,0,604,453,200,150,1,1
trayectoria,1.03,0,606,454.5,200,150,1,1
trayectoria,1.04,0,608,456,200,150,1,1
trayectoria,1.05,0,610,457.5,200,150,1,1
trayectoria,1.06,0,612,459,200,150,1,1
trayectoria,1.07,0,614,460.5,200,150,1,1
trayectoria,1.08,0,616,462,200,150,1,1
trayectoria,1.09,0,618,463.5,200,150,1,1
trayectoria,1.1,0,620,465,200,150,1,1
trayectoria,1.11,0,622,466.5,200,150,1,1
trayectoria,1.12,0,624,468,200,150,1,1
trayectoria,1.13,0,626,469.5,200,150,1,1
trayectoria,1.14,0,628,471,200,150,1,1
trayectoria,1.15,0,630,472.5,200,150,1,1
trayectoria,1.16,0,632,474,200,150,1,1
trayectoria,1.17,0,634,475.5,200,150,1,1
trayectoria,1.18,0,636,477,200,150,1,1
trayectoria,1.19,0,638,478.5,200,150,1,1
trayectoria,1.2,0,640,480,200,150,1,1
trayectoria,1.21,0,642,481.5,200,150,1,1
trayectoria,1.22,0,644,483,200,150,1,1
trayectoria,1.23,0,646,484.5,200,150,1,1
trayectoria,1.24,0,648,486,200,150,1,1
trayectoria,1.25,0,650,487.5,200,150,1,1
trayectoria,1.26,0,652,489,200,150,1,1
trayectoria,1.27,0,654,490.5,200,150,1,1
trayectoria,1.28,0,656,492,200,150,1,1
trayectoria,1.29,0,658,493.5,200,150,1,1
trayectoria,1.3,0,660,495,200,150,1,1
trayectoria,1.31,0,662,496.5,200,150,1,1
trayectoria,1.32,0,664,498,200,150,1,1
trayectoria,1.33,0,666,499.5,200,150,1,1
trayectoria,1.34,0,668,501,200,150,1,1
trayectoria,1.35,0,670,502.5,200,150,1,1
trayectoria,1.36,0,672,504,200,150,1,1
trayectoria,1.37,0,674,505.5,200,150,1,1
trayectoria,1.38,0,676,507,200,150,1,1
trayectoria,1.39,0,678,508.5,200,150,1,1
trayectoria,1.4,0,680,510,200,150,1,1
trayectoria,1.41,0,682,511.5,200,150,1,1
trayectoria,1.42,0,684,513,200,150,1,1
trayectoria,1.43,0,686,514.5,200,150,1,1
trayectoria,1.44,0,688,516,200,150,1,1
trayectoria,1.45,0,690,517.5,200,150,1,1
trayectoria,1.46,0,692,519,200,150,1,1
trayectoria,1.47,0,694,520.5,200,150,1,1
trayectoria,1.48,0,696,522,200,150,1,1
trayectoria,1.49,0,698,523.5,200,150,1,1
trayectoria,1.5,0,700,525,200,150,1,1
trayectoria,1.51,0,702,526.5,200,150,1,1
trayectoria,1.52,0,704,528,200,150,1,1
trayectoria,1.53,0,706,529.5,200,150,1,1
trayectoria,1.54,0,708,531,200,150,1,1
trayectoria,1.55,0,710,532.5,200,150,1,1
trayectoria,1.56,0,712,534,200,150,1,1
trayectoria,1.57,0,714,535.5,200,150,1,1
trayectoria,1.58,0,716,537,200,150,1,1
trayectoria,1.59,0,718,538.5,200,150,1,1
trayectoria,1.6,0,720,540,200,150,1,1
trayectoria,1.61,0,722,541.5,200,150,1,1
trayectoria,1.62,0,724,543,200,150,1,1
trayectoria,1.63,0,726,544.5,200,150,1,1
trayectoria,1.64,0,728,546,200,150,1,1
trayectoria,1.65,0,730,547.5,200,150,1,1
trayectoria,1.66,0,732,549,200,150,1,1
trayectoria,1.67,0,734,550.5,200,150,1,1
trayectoria,1.68,0,736,552,200,150,1,1
trayectoria,1.69,0,738,553.5,200,150,1,1
trayectoria,1.7,0,740,555,200,150,1,1
trayectoria,1.71,0,742,556.5,200,150,1,1
trayectoria,1.72,0,744,558,200,150,1,1
trayectoria,1.73,0,746,559.5,200,150,1,1
trayectoria,1.74,0,748,561,200,150,1,1
trayectoria,1.75,0,750,562.5,200,150,1,1
trayectoria,1.76,0,752,564,200,150,1,1
trayectoria,1.77,0,754,565.5,200,150,1,1
trayectoria,1.78,0,756,567,200,150,1,1
trayectoria,1.79,0,758,568.5,200,150,1,1
trayectoria,1.8,0,760,570,200,150,1,1
trayectoria,1.81,0,762,571.5,200,150,1,1
trayectoria,1.82,0,764,573,200,150,1,1
trayectoria,1.83,0,766,574.5,200,150,1,1
trayectoria,1.84,0,768,576,200,150,1,1
trayectoria,1.85,0,770,577.5,200,150,1,1
trayectoria,1.86,0,772,579,200,150,1,1
trayectoria,1.87,0,774,580.5,200,150,1,1
trayectoria,1.88,0,776,582,200,150,1,1
trayectoria,1.89,0,778,583.5,200,150,1,1
trayectoria,1.9,0,780,585,200,150,1,1
trayectoria,1.91,0,782,586.5,200,150,1,1
trayectoria,1.92,0,784,588,200,150,1,1
trayectoria,1.93,0,786,589.5,200,150,1,1
trayectoria,1.94,0,788,591,200,150,1,1
trayectoria,1.95,0,790,592.5,200,150,1,1
trayectoria,1.96,0,792,594,200,150,1,1
trayectoria,1.97,0,794,594.5,200,-150,1,1
trayectoria,1.98,0,794.5,593,-200,-150,1,1
trayectoria,1.99,0,792.5,591.5,-200,-150,1,1
trayectoria,2,0,790.5,590,-200,-150,1,1
trayectoria,2.01,0,788.5,588.5,-200,-150,1,1
trayectoria,2.02,0,786.5,587,-200,-150,1,1
trayectoria,2.03,0,784.5,585.5,-200,-150,1,1
trayectoria,2.04,0,782.5,584,-200,-150,1,1
trayectoria,2.05,0,780.5,582.5,-200,-150,1,1
trayectoria,2.06,0,778.5,581,-200,-150,1,1
trayectoria,2.07,0,776.5,579.5,-200,-150,1,1
trayectoria,2.08,0,774.5,578,-200,-150,1,1
trayectoria,2.09,0,772.5,576.5,-200,-150,1,1
trayectoria,2.1,0,770.5,575,-200,-150,1,1
trayectoria,2.11,0,768.5,573.5,-200,-150,1,1
trayectoria,2.12,0,766.5,572,-200,-150,1,1
trayectoria,2.13,0,764.5,570.5,-200,-150,1,1
trayectoria,2.14,0,762.5,569,-200,-150,1,1
trayectoria,2.15,0,760.5,567.5,-200,-150,1,1
trayectoria,2.16,0,758.5,566,-200,-150,1,1
trayectoria,2.17,0,756.5,564.5,-200,-150,1,1
trayectoria,2.18,0,754.5,563,-200,-150,1,1
trayectoria,2.19,0,752.5,561.5,-200,-150,1,1
trayectoria,2.2,0,750.5,560,-200,-150,1,1
trayectoria,2.21,0,748.5,558.5,-200,-150,1,1
trayectoria,2.22,0,746.5,557,-200,-150,1,1
trayectoria,2.23,0,744.5,555.5,-200,-150,1,1
trayectoria,2.24,0,742.5,554,-200,-150,1,1
trayectoria,2.25,0,740.5,552.5,-200,-150,1,1
trayectoria,2.26,0,738.5,551,-200,-150,1,1
trayectoria,2.27,0,736.5,549.5,-200,-150,1,1
trayectoria,2.28,0,734.5,548,-200,-150,1,1
trayectoria,2.29,0,732.5,546.5,-200,-150,1,1
trayectoria,2.3,0,730.5,545,-200,-150,1,1
trayectoria,2.31,0,728.5,543.5,-200,-150,1,1
trayectoria,2.32,0,726.5,542,-200,-150,1,1
trayectoria,2.33,0,724.5,540.5,-200,-150,1,1
trayectoria,2.34,0,722.5,539,-200,-150,1,1
trayectoria,2.35,0,720.5,537.5,-200,-150,1,1
trayectoria,2.36,0,718.5,536,-200,-150,1,1
trayectoria,2.37,0,716.5,534.5,-200,-150,1,1
trayectoria,2.38,0,714.5,533,-200,-150,1,1
trayectoria,2.39,0,712.5,531.5,-200,-150,1,1
trayectoria,2.4,0,710.5,530,-200,-150,1,1
trayectoria,2.41,0,708.5,528.5,-200,-150,1,1
trayectoria,2.42,0,706.5,527,-200,-150,1,1
trayectoria,2.43,0,704.5,525.5,-200,-150,1,1
