# SIMULACION DE COLISIONES MULTIPLES
# Practica 5 - Informatica II
#
# Box: 800 x 600
# Tiempo: 22.87 s
# Particulas activas: 3/4
# Total colisiones: 11
#
# OBSTACULOS
#
# TRAYECTORIAS DE PARTICULAS
# Formato: trayectoria,tiempo,id,x,y,vx,vy,masa,activa
trayectoria,0.24,1,576,300,-100,0,1,1
trayectoria,0.24,2,312,174,50,100,0.8,1
trayectoria,0.24,3,488,426,-50,-100,0.8,1
trayectoria,0.25,0,225,300,100,0,1,1
trayectoria,0.25,1,575,300,-100,0,1,1
trayectoria,0.25,2,312.5,175,50,100,0.8,1
trayectoria,0.25,3,487.5,425,-50,-100,0.8,1
trayectoria,0.26,0,226,300,100,0,1,1
trayectoria,0.26,1,574,300,-100,0,1,1
trayectoria,0.26,2,313,176,50,100,0.8,1
trayectoria,0.26,3,487,424,-50,-100,0.8,1
trayectoria,0.27,0,227,300,100,0,1,1
trayectoria,0.27,1,573,300,-100,0,1,1
trayectoria,0.27,2,313.5,177,50,100,0.8,1
trayectoria,0.27,3,486.5,423,-50,-100,0.8,1
trayectoria,0.28,0,228,300,100,0,1,1
trayectoria,0.28,1,572,300,-100,0,1,1
trayectoria,0.28,2,314,178,50,100,0.8,1
trayectoria,0.28,3,486,422,-50,-100,0.8,1
trayectoria,0.29,0,229,300,100,0,1,1
trayectoria,0.29,1,571,300,-100,0,1,1
trayectoria,0.29,2,314.5,179,50,100,0.8,1
trayectoria,0.29,3,485.5,421,-50,-100,0.8,1
trayectoria,0.3,0,230,300,100,0,1,1
trayectoria,0.3,1,570,300,-100,0,1,1
trayectoria,0.3,2,315,180,50,100,0.8,1
trayectoria,0.3,3,485,420,-50,-100,0.8,1
trayectoria,0.31,0,231,300,100,0,1,1
trayectoria,0.31,1,569,300,-100,0,1,1
trayectoria,0.31,2,315.5,181,50,100,0.8,1
trayectoria,0.31,3,484.5,419,-50,-100,0.8,1
trayectoria,0.32,0,232,300,100,0,1,1
trayectoria,0.32,1,568,300,-100,0,1,1
trayectoria,0.32,2,316,182,50,100,0.8,1
